Sucursal,Territorio,Cliente,Agreement_Num,Valor_Prestamo,Tarifa_Semanal,Pago_Semanal,Sin_Pago_Sem,Fecha_Pago,Contrato_con_Fraude
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,0,720,0,28/11/2018,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,715.3,0,1,10/12/2018,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,15/12/2018,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,391,0,22/12/2018,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,320,0,27/12/2018,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,05/01/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,12/01/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,18/01/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,28/01/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,04/02/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,11/02/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,16/02/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,25/02/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,01/03/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,10/03/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,391,0,14/03/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,21/03/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,391,0,30/03/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,06/04/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,12/04/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,391,0,21/04/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,28/04/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,06/05/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,12/05/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,18/05/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,26/05/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,02/06/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,07/06/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,17/06/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,21/06/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,30/06/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,391,0,04/07/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,12/07/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,391,0,22/07/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,27/07/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,05/08/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,09/08/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,19/08/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,23/08/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,30/08/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,06/09/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,16/09/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,22/09/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,26/09/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,03/10/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,10/10/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,21/10/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,26/10/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,02/11/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,07/11/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,16/11/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,21/11/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,28/11/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,390,0,06/12/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,16/12/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,20/12/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,29/12/2019,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,05/01/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,11/01/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,20/01/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,320,0,25/01/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,01/02/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,10/02/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,14/02/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,22/02/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,27/02/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,06/03/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,16/03/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,23/03/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,30/03/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,03/04/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,13/04/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,16/04/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,26/04/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,01/05/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,07/05/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,18/05/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,391.04,0,1,25/05/2020,
Sucursal 01,MEX-1252,C00000001,AG00010,9295.6,0,0,0,01/06/2020,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,0,920,0,04/06/2020,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,920,0,1,28/12/2018,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,04/01/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,12/01/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,17/01/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,120,0,24/01/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,02/02/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,11/02/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,16/02/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,21/02/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,04/03/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,07/03/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,120,0,18/03/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,23/03/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,28/03/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,05/04/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,13/04/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,22/04/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,27/04/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,03/05/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,12/05/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,20/05/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,23/05/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,02/06/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,08/06/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,13/06/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,24/06/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,30/06/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,05/07/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,520,0,11/07/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,20/07/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,27/07/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,02/08/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,09/08/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,19/08/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,22/08/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,30/08/2019,
Sucursal 01,MEX-1252,C00000002,AG00011,12020,500,0,1,08/09/2019,
